M;0003;016;01;178;1.97;0.00;2.40;0.00;-0.38;0.00;29.60;29.70;25.40;20.99;-9999.00;66.12;1400;;;;;;34.20;31.80;22.88;23.94;0.00;33.00;30.50;80.00;27.22;-1000.00;-104.009;-56.933;32;3384.17;75.08;5
P;0003;;;178;;;;;;;29.60;29.70;25.40;20.99;-9999.00;66.12;1400;;;;;;34.20;31.80;22.88;23.94;0.00;33.00;30.50;80.00;27.22;-1000.00;-104.009;-56.933;32;;;;1.958;0.813;0.802;0.829;0.812
P;0004;;;187;;;;;;;29.60;29.70;25.50;20.99;-9999.00;65.84;1398;;;;;;34.30;31.90;22.88;23.94;0.00;30.50;29.00;80.00;27.43;-1000.00;-125.993;-69.462;32;;;;1.958;0.813;0.801;0.829;0.812
P;0004;;;187;;;;;;;29.70;29.80;25.50;20.99;-9999.00;65.84;1398;;;;;;34.30;31.90;22.88;23.94;0.00;30.50;28.50;80.00;27.43;-1000.00;-125.993;-69.462;0;;;;1.958;0.813;0.801;0.829;0.812
R;0004;;01;218;103.72;0.00;;;;;29.70;29.90;26.20;20.99;-9999.00;66.20;1399;3531.23;;;;;34.60;32.30;22.84;23.94;0.00;32.00;23.00;80.00;27.89;-1000.00;-125.993;-69.454;30;3531.23;75.07;5
M;0004;001;01;219;1.87;0.00;2.27;0.00;-0.02;0.00;29.60;29.90;26.20;20.99;-9999.00;66.26;1399;;;;;;34.60;32.30;22.81;23.94;0.00;32.00;22.50;80.00;27.91;-1000.00;-104.033;-69.940;32;3530.60;75.11;5
M;0004;002;01;221;1.79;0.00;2.18;0.00;-0.49;0.00;29.60;29.90;26.20;20.98;-9999.00;66.32;1399;;;;;;34.60;32.40;22.84;23.94;0.00;32.00;22.50;80.00;27.92;-1000.00;-91.019;-69.956;32;3530.00;75.10;5
M;0004;003;01;222;1.97;0.00;2.40;0.00;-0.75;0.00;29.60;29.90;26.20;20.98;-9999.00;66.34;1399;;;;;;34.70;32.40;22.84;23.94;0.00;32.50;22.50;80.00;27.93;-1000.00;-78.013;-69.940;32;3513.54;75.13;5
M;0004;004;01;223;1.96;0.00;2.38;0.00;0.42;0.00;29.60;29.90;26.30;20.98;-9999.00;66.40;1400;;;;;;34.70;32.40;22.75;23.94;0.00;33.00;23.00;80.00;27.96;-1000.00;-65.031;-69.940;32;3540.53;75.10;5
M;0004;005;01;224;1.93;0.00;2.35;0.00;-1.41;0.00;29.60;29.90;26.30;20.98;-9999.00;66.45;1400;;;;;;34.70;32.40;22.75;23.94;0.00;33.50;24.00;80.00;27.97;-1000.00;-52.024;-69.948;32;3546.42;75.05;5
M;0004;006;01;225;1.74;0.00;2.12;0.00;-1.46;0.00;29.60;29.90;26.30;20.99;-9999.00;66.51;1399;;;;;;34.70;32.40;22.75;23.94;0.00;33.50;24.00;80.00;27.97;-1000.00;-39.026;-69.940;32;3542.73;75.12;5
M;0004;007;01;227;2.17;0.00;2.65;0.00;0.28;0.00;29.60;29.90;26.40;20.99;-9999.00;66.57;1399;;;;;;34.70;32.50;22.84;23.94;0.00;34.00;25.00;80.00;27.98;-1000.00;-26.028;-69.940;32;3507.86;75.10;5
M;0004;008;01;228;1.49;0.00;1.82;0.00;-0.98;0.00;29.60;29.90;26.40;20.99;-9999.00;66.60;1400;;;;;;34.70;32.50;22.81;23.94;0.00;34.00;25.00;80.00;27.99;-1000.00;-13.030;-69.948;32;3513.35;75.13;5
M;0004;009;01;229;1.85;0.00;2.26;0.00;-1.83;0.00;29.60;29.90;26.40;20.99;-9999.00;66.73;1400;;;;;;34.80;32.50;22.81;23.94;0.00;34.50;25.50;80.00;28.00;-1000.00;-13.030;-56.965;32;3503.98;75.11;5
M;0004;010;01;231;1.71;0.00;2.08;0.00;0.43;0.00;29.60;29.90;26.40;20.98;-9999.00;66.78;1400;;;;;;34.80;32.50;22.78;23.94;0.00;35.00;25.50;80.00;28.00;-1000.00;-26.004;-56.933;32;3488.55;75.14;5
